AoA 0 Deg - temp = 24degrees C - ATMpressure = 100,500 Pa - R = 287.058 

Drag from balance reading = 0.45N
Lift from balance reading = 11.94N
Temp inside test section  = 21.5C

dx	q	q	q	q	q	q
[mm]	[pa]	[pa]	[pa]	[pa]	[pa]	[pa]
20	230	306	233	306	236	305
40	360	379	355	377	358	377
60	379	377	375	383	375	383
80	380	365	389	366	380	366
100	365	371	364	369	365	373
110	370	364	373	367	370	366
120	370	359	372	355	372	359
125	371	350	371	359	369	345
130	365	347	363	347	365	344
135	352	354	355	354	355	354
140	353	360	354	360	350	360
145	360	316	363	309	363	313
150	359	304	357	305	357	305
155	300	349	303	348	300	350
160	315	362	300	360	314	362
165	359	359	356	365	356	365
170	364	361	362	352	365	360
175	355	356	353	355	356	352
180	352	364	357	361	365	363
200	365	373	370	373	365	372
220	361	374	369	378	365	375
240	370	359	370	363	370	358
260	365	370	367	376	365	370
280	348	326	347	327	346	326
